symbol_group_name,vmsize,filesize
_GamepadMap_* (library),484,833
opt_setmembership,480,570
_TriggerResponse_* (library),480,687
parse_args,476,535
_grow_* (library),472,563
oggbyte_read4,472,534
oggbyte_set4,472,533
glfwCreateJoystickDeviceGuid,468,545
_token_* (library),456,549
JobSystemDestroy,456,521
fpconv_strtod,456,518
_ContactPointEvent_* (library),456,667
_RequestRayCast_* (library),456,661
_MeshSet_* (library),456,653
_glfwPlatformInit,452,518
glfwGetTouch,452,513
_glfwAndroidGetSafeAreaInsets,448,526
_ip6_* (library),444,514
gola_fixup,444,503
dmPoolAllocator,440,695
_ManifestFile_* (library),437,714
_SplinePoint_* (library),437,706
_start_* (library),436,567
_PropertyDeclarationEntry_* (library),434,746
_HttpRequestProgress_* (library),434,713
_SetConstantParticleFX_* (library),432,633
[section .data],431,431
ProcessOneJob(),428,515
_push_* (library),428,489
btDbvtTreeCollider,428,770
ctoknames,424,482
_ConvexHull_* (library),424,888
b2ContactListener,424,1057
_glfwPlatformTerminate,420,491
_StartRecord_* (library),420,876
_FactoryDesc_* (library),414,952
_CollectionFactoryDesc_* (library),414,978
ResourceChunkCacheEvictPathHash(),412,518
inet_pushresolved,412,478
meth_receivefrom,412,477
_array_* (library),412,476
btGjkEpaPenetrationDepthSolver,412,818
_PrototypeDesc_* (library),410,758
_ComponentPropertyDesc_* (library),410,718
_DrawDebugText_* (library),410,726
_ComputeDesc_* (library),410,683
_lookup_* (library),408,468
_Transform_* (library),408,598
_ScriptMessage_* (library),408,605
_AnimationTrack_* (library),408,581
_DrawLine_* (library),408,575
_struct_* (library),404,467
collect_fd,404,463
searchpath,400,459
cp_errmsg,400,458
removeleaf(),396,529
stbtt_GetGlyphBox(),396,497
_ctr_* (library),396,477
_index_* (library),396,459
_PlayAnimation_* (library),394,827
socket_sendto,392,478
meth_sendto,392,476
_Cue_* (library),391,722
glfwEnable,388,447
_PropertyDesc_* (library),388,758
ConfigFileGetFloat,384,475
JobSystemCreateJob,384,475
socket_recvfrom,384,472
_glfwParseGLVersion,384,452
expr_toreg,384,443
_TriggerEvent_* (library),384,615
_SetViewProjection_* (library),384,577
dmUtf8,384,666
_ResetConstant_* (library),384,744
socket_send,376,508
meth_receive,376,485
dmStrError(),376,443
_base_* (library),376,512
_clear_* (library),376,630
btConeTwistConstraint,372,469
glfwExtensionSupported,372,443
ConfigFileGetInt,372,437
debug_localname,372,436
_mem_* (library),372,557
socket_recv,368,452
socket_connect,368,431
gc_mark,368,424
_dynamic_* (library),364,427
b2ContactFilter,364,681
_DisplayProfileQualifier_* (library),362,693
unwind_phase2,360,422
_Collision_* (library),360,555
btPointCollector,360,799
_callback_* (library),356,421
strscan_hex,356,416
_std_* (library),356,477
inet_trybind,352,413
newtab,352,407
dmRenderDDF,352,1451
GBGetGlyph(),348,450
_len_* (library),348,409
SupportVertexCallback,348,609
b2EdgeSeparation(),344,454
stbi__get16be(),344,427
_glfwAndroidPlatformSwapBuffers,344,424
glfwOpenWindowHint,344,411
_glfwShowKeyboard,344,410
_g_* (library),344,473
gc_finalize,340,424
_terminate_* (library),340,423
_call_* (library),340,406
_glfwPlatformGetJoystickButtons,336,416
_ktabk_* (library),336,410
_toreg_* (library),336,404
_MorphWeightTrack_* (library),336,513
b2Timer,336,588
_select_* (library),332,396
_sw_* (library),332,391
_gather_* (library),328,400
auxiliar_tostring,328,394
entropy_update,328,391
parse_label,328,388
BroadphaseAabbTester,328,578
BroadphaseRayTester,328,599
_free_* (library),328,553
_SetParent_* (library),326,719
socket_accept,324,482
debug_putchunkname,324,391
meth_setpeername,324,389
btConvexCast,324,886
meth_send,320,450
_opaque_* (library),320,391
glfwGetWindowParam,320,387
poly1305_process,320,385
expr_discharge,320,383
meth_accept,320,380
mmap_probe,320,379
cpwriter,320,377
lj_parse,320,377
_zdefault_* (library),320,472
_Transmission_* (library),317,584
_aarch64_* (library),317,681
ResourceChunkCacheGet(),316,434
debug_framepc,316,378
_sub_* (library),316,376
close_state,316,376
tcp_create,316,375
[section .text],316,316
_SpriteTexture_* (library),316,721
_CollectionProxyDesc_* (library),316,724
_PathSettings_* (library),316,670
_AnimationSetDesc_* (library),314,617
_Data_* (library),314,591
_InstancePropertyDesc_* (library),314,619
_DisplayProfiles_* (library),314,607
_DisplayProfile_* (library),314,585
_TextureProfile_* (library),314,582
_DrawText_* (library),314,591
btActivatingCollisionAlgorithm,312,787
_ParticleFX_* (library),312,511
_ApplyForce_* (library),312,509
_VelocityResponse_* (library),312,497
_CollisionEvent_* (library),312,493
_TextureProfiles_* (library),312,515
_Skeleton_* (library),312,473
FontLoadFromMemory(),308,410
ciphersuite_preference,308,379
rsa_unblind,308,368
cpparser,308,365
timeout_getretry,304,393
meth_connect,304,365
copy_slot,304,362
btSingleSweepCallback,304,564
btCollisionAlgorithm,304,652
_decode_* (library),300,392
abort_message,300,362
bcwrite_ktabk,300,362
_packet_* (library),300,439
_fff_* (library),300,694
sprintf(),296,454
TextToCodePoints(),296,380
RecvTimeout(),296,367
nd_mul2k,296,353
btSingleRayCallback,296,550
_phase2_* (library),292,361
inet_tryconnect,292,356
_auth_* (library),292,355
_GamepadTrigger_* (library),290,560
_MouseTrigger_* (library),290,554
_TouchTrigger_* (library),290,554
_TextTrigger_* (library),290,551
_KeyTrigger_* (library),290,572
ctype_preptype,288,351
strscan_bin,288,348
bit_band,288,345
bit_bxor,288,345
bit_bor,288,344
_EventTrack_* (library),288,453
dmSystemDDF,288,1225
dmGameObjectDDF,288,1254
hash_mprime,284,344
_glfwAndroidSetFullscreenParameters,280,364
_glfwTerminateJoysticks,280,352
bcemit_INS,280,339
fscope_end,280,339
make_assoc,280,339
_128_* (library),280,750
_192_* (library),280,750
_256_* (library),280,750
DefoldError,276,367
dmArrayUtil,276,365
gola_resolve,276,361
JobThread(),276,408
b2DistanceProxy,272,357
_calculate_* (library),272,355
aes_info,272,329
b2WorldRayCastWrapper,268,380
buf_grow,268,349
ConfigFileGetString,268,336
bcemit_branch,268,330
gc_freefunc,264,372
_glfwAndroidSetInputMethod,264,363
FontCollectionAddFont(),264,361
ContextRegistrySetByHash,264,337
dmHashBufferNoReverse64,264,336
ExtensionRegister,264,330
mask,264,317
_ModelAnimationDone_* (library),264,473
_SetTexture_* (library),264,457
_ResetConstantParticleFX_* (library),264,469
_EnableGridShapeLayer_* (library),264,457
_ComponenTypeDesc_* (library),264,455
_AnimationDone_* (library),264,473
_SetTimeStep_* (library),264,445
_WindowResized_* (library),264,441
_ConvexShape_* (library),264,439
_LayoutChanged_* (library),264,459
_Trigger_* (library),264,431
_Resize_* (library),264,427
dmEngineCreate(),260,337
_glfwPlatformGetJoystickPos,260,336
zip_openwitherror,260,333
auxiliar_newclass,260,326
debug_varname,260,322
gc_sweep,260,317
dmEngineService,260,997
_char_* (library),257,318
_glfwResetKeyboard,256,323
strbuf_resize,256,318
bcemit_nil,256,315
_ulp_* (library),256,293
rescale_n,256,290
vwin128,256,288
FSb,256,52
RSb,256,52
_malloc_* (library),256,405
_zdist_* (library),256,397
ffh_pairs,252,334
oggpack_read,252,313
resizestack,252,312
ov_read,252,308
_pcm_* (library),252,373
_cont_* (library),252,606
dmEngineGetResult(),248,355
auxiliar_checkgroup,248,316
_lightud_* (library),248,314
assign_adjust,248,310
setjitmode,248,307
gola_new,248,305
_glfwWin,248,57
_zlength_* (library),248,393
operator new(),244,390
b2ClipSegmentToLine(),244,370
_YCbCr_* (library),244,333
dmStrTok(),244,312
socket_gaistrerror,244,311
meth_setsockname,244,309
dmTime,244,459
jmp_patchval,240,325
dmHashEnableReverseHash,240,312
matchbracketclass,240,306
ctype_prepqual,240,303
