symbol_group_name,vmsize,filesize
FontGetGlyph(),96,96
ResourceChunkCacheCreate(),96,96
TextLayoutLegacyFree(),96,96
_getcurrenv,96,96
_glfwGetMouseButton,96,96
btActivatingCollisionAlgorithm,96,96
-[BaseView clearMarkedText],92,92
-[BaseView dealloc],92,92
_glfwGetKey,92,92
_setboolfield,92,92
recursedeletenode(),92,92
-[ViewController viewDidAppear:],88,88
FontDestroy(),88,88
ResourceTypeContextGetContextByHash(),88,88
_ContextRegistryDestroy,88,88
_ScriptHttp,88,88
__glfwPlatformGetProcAddress,88,88
_glfwAccelerometerEnable,88,88
_mad3sizes_* (library),88,88
b2ContactListener,88,88
btCollisionPairCallback,88,88
dmRenderDDF,88,88
_bitrev,86,86
+[EAGLView initialiseGlAuxContext:],84,84
-[ViewController accelerometer:didAccelerate:],84,84
_CALL_* (library),84,84
_LiveUpdateExt,84,84
_glfwSetWindowSize,84,84
_glfwUnregisterUIApplicationDelegate,84,84
dmLZ4,84,84
dmSnPrintf(),84,84
btCollisionAlgorithm,84,84
dmDoubleLinkedList,84,84
-[BaseView endOfDocument],80,80
-[ViewController dealloc],80,80
-[ViewController viewWillDisappear:],80,80
_CrashExt,80,80
_ScriptBox2DExt,80,80
_ScriptComputeExt,80,80
_ScriptFont,80,80
_ScriptImageExt,80,80
_ScriptMaterialExt,80,80
_ScriptModelExt,80,80
_ScriptTypesExt,80,80
dmEngineUpdate(),80,80
-[AppDelegateProxy init],76,76
__glfwPlatformGetWindowRefreshRate,76,76
_synlevel_* (library),76,76
dmStrlCpy(),76,76
+[EAGLView initialiseGlContext],72,72
-[AppDelegate dealloc],72,72
-[EAGLView layoutSubviews],72,72
_dmHashBuffer32.cold.1,72,72
_glfwGetMousePos,72,72
_set2,72,72
btTransform,72,72
dmMemory,72,72
_destroy_* (library),72,72
dmGameObjectDDF,72,72
dmSystemDDF,72,72
-[IndexedRange end],68,68
_die,68,68
_dmHashEnableReverseHash,68,68
_invertcond,68,68
dmEngineDestroy(),68,68
stbi__bmask,68,68
-[BaseView replaceRange:withText:],64,64
FontCollectionDestroy(),64,64
FontGetPath(),64,64
FontGetPathHash(),64,64
FontGetType(),64,64
_glfwGetWindowSize,64,64
_glfwSetWindowSizeCallback,64,64
_settabsb,64,64
_settabsi,64,64
_settabss,64,64
_writer_* (library),64,64
stbi__jbias,64,64
btConvexCast,64,64
_24-[AppDelegate appUpdate]_* (library),64,64
_b2_* (library),64,64
+[IndexedPosition positionWithIndex:],60,60
-[BaseView markedTextRange],60,60
-[BaseView selectedTextRange],60,60
ChunkComparePathOffsetFn(),60,60
_ContextRegistrySet,60,60
_WindowCreateParamsInitialize,60,60
_glfwSetWindowPos,60,60
_setpc_* (library),60,60
_unlinkuv,60,60
b2CollideEdgeAndPolygon(),60,60
-[BaseView newFrame],56,56
__glfwInputChar,56,56
__glfwPlatformGetAcceleration,56,56
__glfwPlatformSetTime,56,56
_cpfinalize,56,56
_cpgrowstack,56,56
_glfwSetCharCallback,56,56
_glfwSetGamepadCallback,56,56
_glfwSetMarkedTextCallback,56,56
b2PairLessThan(),56,56
-[BaseView offsetFromPosition:toPosition:],52,52
-[BaseView setMarkedText:selectedRange:],52,52
-[ViewController viewDidUnload],52,52
-[VulkanView dealloc],52,52
FontDestroyTTF(),52,52
_ExtensionParamsInitialize,52,52
_glfwGetMouseWheel,52,52
_glfwIconifyWindow,52,52
dmEngineFinalize(),52,52
_ContextRegistryCreate,48,48
_ExtensionAppParamsInitialize,48,48
__glfwPlatformAcquireAuxContext,48,48
_expr,48,48
_glfwGetProcAddress,48,48
_glfwGetWindowRefreshRate,48,48
_glfwTerminate,48,48
-[BaseView tokenizer],44,44
-[EAGLView createFramebuffer].cold.1,44,44
-[EAGLView destroyFramebuffer].cold.1,44,44
-[EAGLView destroyFramebuffer].cold.2,44,44
-[EAGLView destroyFramebuffer].cold.3,44,44
-[EAGLView destroyFramebuffer].cold.4,44,44
-[EAGLView destroyFramebuffer].cold.5,44,44
-[IndexedRange start],44,44
-[ViewController shouldUpdateViewFrame],44,44
_ExtensionAppParamsFinalize,44,44
_ExtensionParamsFinalize,44,44
_glfwPollEvents,44,44
_glfwSetWindowCloseCallback,44,44
_glfwSetWindowFocusCallback,44,44
_glfwSetWindowIconifyCallback,44,44
_glfwSetWindowTitle,44,44
_glfwSwapInterval,44,44
FontCollectionCreate(),40,40
FontCollectionGetFont(),40,40
GetScaleFromSizeTTF(),40,40
_GraphicsAdapterOpenGL,40,40
_JobSystemCreate.cold.3,40,40
_JobSystemPushJob.cold.3,40,40
_JobSystemSetParent.cold.4,40,40
_JobSystemSetParent.cold.5,40,40
_JobSystemSetParent.cold.6,40,40
_JobSystemSetParent.cold.8,40,40
_JobSystemSetParent.cold.9,40,40
_JobSystemUpdate.cold.5,40,40
